league,season,team,player,nation,pos,age,born,partidos,titularidades,minutos,noventa_min,goles,asistencias,g_a,goles_sin_penal,penales,penales_int,amarillas,rojas,goles_90,asistencias_90,g_a_90,goles_sin_penal_90,g_a_sin_penal_90
ENG-Premier League,2526,Arsenal,Ben White,ENG,DF,28,1997,12,9,702,7.8,0,1,1,0,0,0,0,0,0.0,0.13,0.13,0.0,0.13
ENG-Premier League,2526,Arsenal,Bukayo Saka,ENG,"FW,MF",24,2001,31,25,2222,24.7,7,5,12,6,1,1,2,0,0.28,0.2,0.49,0.24,0.45
ENG-Premier League,2526,Arsenal,Christian Nørgaard,DEN,MF,32,1994,6,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Arsenal,Cristhian Mosquera,ESP,DF,21,2004,19,8,904,10.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Arsenal,David Raya,ESP,GK,30,1995,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Arsenal,Declan Rice,ENG,MF,27,1999,36,35,3094,34.4,4,5,9,4,0,0,3,0,0.12,0.15,0.26,0.12,0.26
ENG-Premier League,2526,Arsenal,Eberechi Eze,ENG,"MF,FW",27,1998,31,21,1796,20.0,7,2,9,7,0,0,1,0,0.35,0.1,0.45,0.35,0.45
ENG-Premier League,2526,Arsenal,Ethan Nwaneri,ENG,MF,19,2007,6,0,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Arsenal,Gabriel Jesus,BRA,FW,29,1997,13,2,355,3.9,2,0,2,2,0,0,2,0,0.51,0.0,0.51,0.51,0.51
ENG-Premier League,2526,Arsenal,Gabriel Magalhães,BRA,DF,28,1997,31,30,2706,30.1,3,4,7,3,0,0,4,0,0.1,0.13,0.23,0.1,0.23
ENG-Premier League,2526,Arsenal,Gabriel Martinelli,BRA,"FW,MF",24,2001,29,10,991,11.0,1,3,4,1,0,0,3,0,0.09,0.27,0.36,0.09,0.36
ENG-Premier League,2526,Arsenal,Jurriën Timber,NED,DF,24,2001,30,28,2454,27.3,3,5,8,3,0,0,5,0,0.11,0.18,0.29,0.11,0.29
ENG-Premier League,2526,Arsenal,Kai Havertz,GER,"FW,MF",26,1999,11,7,536,6.0,2,2,4,2,0,0,1,0,0.34,0.34,0.67,0.34,0.67
ENG-Premier League,2526,Arsenal,Leandro Trossard,BEL,"FW,MF",31,1994,31,21,2000,22.2,6,6,12,6,0,0,2,0,0.27,0.27,0.54,0.27,0.54
ENG-Premier League,2526,Arsenal,Martin Ødegaard,NOR,MF,27,1998,24,16,1369,15.2,1,6,7,1,0,0,0,0,0.07,0.39,0.46,0.07,0.46
ENG-Premier League,2526,Arsenal,Martín Zubimendi,ESP,MF,27,1999,37,33,2902,32.2,5,1,6,5,0,0,4,0,0.16,0.03,0.19,0.16,0.19
ENG-Premier League,2526,Arsenal,Max Dowman,ENG,MF,16,2009,5,0,96,1.1,1,0,1,1,0,0,0,0,0.94,0.0,0.94,0.94,0.94
ENG-Premier League,2526,Arsenal,Mikel Merino,ESP,"MF,FW",29,1996,21,10,1007,11.2,4,3,7,4,0,0,1,0,0.36,0.27,0.63,0.36,0.63
ENG-Premier League,2526,Arsenal,Myles Lewis-Skelly,ENG,"MF,DF",19,2006,19,4,619,6.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Arsenal,Noni Madueke,ENG,"FW,MF",24,2002,25,15,1129,12.5,2,1,3,2,0,0,0,0,0.16,0.08,0.24,0.16,0.24
ENG-Premier League,2526,Arsenal,Piero Hincapié,ECU,DF,24,2002,24,19,1702,18.9,1,2,3,1,0,0,2,0,0.05,0.11,0.16,0.05,0.16
ENG-Premier League,2526,Arsenal,Riccardo Calafiori,ITA,DF,24,2002,25,21,1654,18.4,1,2,3,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16
ENG-Premier League,2526,Arsenal,Viktor Gyökeres,SWE,FW,27,1998,35,26,2216,24.6,14,1,15,11,3,3,5,0,0.57,0.04,0.61,0.45,0.49
ENG-Premier League,2526,Arsenal,William Saliba,FRA,DF,25,2001,31,30,2614,29.0,1,0,1,1,0,0,2,0,0.03,0.0,0.03,0.03,0.03
ENG-Premier League,2526,Aston Villa,Alysson Edward,BRA,MF,20,2006,3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Aston Villa,Amadou Onana,BEL,MF,24,2001,24,21,1740,19.3,2,0,2,2,0,0,3,0,0.1,0.0,0.1,0.1,0.1
ENG-Premier League,2526,Aston Villa,Andrés García,ESP,DF,23,2003,5,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Aston Villa,Boubacar Kamara,FRA,MF,26,1999,18,17,1411,15.7,1,3,4,1,0,0,5,0,0.06,0.19,0.26,0.06,0.26
ENG-Premier League,2526,Aston Villa,Bradley Burrowes,ENG,MF,18,2008,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Aston Villa,Donyell Malen,NED,"FW,MF",27,1999,21,5,656,7.3,4,1,5,4,0,0,0,0,0.55,0.14,0.69,0.55,0.69
